,timesteps,ep_reward,num_updates,episodes
0,200,-571.9537799663696,0,0
1,100,-229.23673852882044,0,1
2,200,-441.23460483130293,0,2
3,90,-155.42997518586878,0,3
4,200,-442.0288625367782,0,4
5,200,-533.6843767599244,0,5
6,200,-358.896898870475,0,6
7,200,-428.0215594853207,0,7
8,200,-510.6096380169824,0,8
9,200,-515.3204817085556,0,9
10,200,-604.2727677112639,0,10
11,135,-363.0865385021888,1,11
12,190,-460.47959372182095,0,12
13,46,-88.37971266236202,0,13
14,200,-555.221927700256,0,14
15,43,-82.49677416800309,0,15
16,200,-465.6543777608964,0,16
17,75,-114.67459420501483,0,17
18,200,-506.2210552167242,0,18
19,200,-455.0963270846774,0,19
20,200,-369.8773110116718,0,20
21,193,-469.1865075761264,0,21
22,200,-439.9268905439095,0,22
23,200,-428.8113998924319,1,23
24,87,-196.9016833247498,0,24
25,196,-404.19739335562537,0,25
26,41,-94.71819161254328,0,26
27,200,-346.56319203612134,0,27
28,200,-409.8596730141137,0,28
29,130,-188.99434623393793,0,29
30,200,-384.44742760366904,0,30
31,64,-79.98143961053212,0,31
32,200,-458.0974414168251,0,32
33,200,-507.0884274257244,0,33
34,26,-41.58585691626875,0,34
35,200,-349.1152041706242,0,35
36,200,-321.80480309578735,1,36
37,200,-371.888636830855,0,37
38,72,-149.09651771652062,0,38
39,44,-87.83665038207057,0,39
40,176,-334.2312662602258,0,40
41,74,-174.24529361300932,0,41
42,113,-197.08198545750085,0,42
43,36,-63.99890746533303,0,43
44,165,-301.3642261637264,0,44
45,80,-125.46550052413863,0,45
46,200,-320.2990210843817,0,46
47,200,-365.4979940477381,0,47
48,104,-156.54509288738018,0,48
49,170,-327.9828509745145,0,49
50,163,-278.43288092784553,0,50
51,39,-87.22314242513211,0,51
52,200,-561.2478384666965,1,52
53,77,-116.50618257317521,0,53
54,120,-194.9470301713242,0,54
55,46,-102.44187002244381,0,55
56,200,-326.6760036543625,0,56
57,200,-393.85065293102804,0,57
58,182,-319.5843555571088,0,58
59,200,-367.7146523539114,0,59
60,33,-54.45672923654708,0,60
61,123,-195.37614000835347,0,61
62,27,-44.84178579944464,0,62
63,50,-101.67814072466001,0,63
64,126,-233.02648581229477,0,64
65,78,-119.72996152150111,0,65
66,161,-306.6385194668789,0,66
67,27,-45.74434060221007,0,67
68,33,-58.487551961085046,0,68
69,200,-365.35095855521644,0,69
70,200,-368.181885668887,1,70
71,153,-288.8764666911249,0,71
72,200,-359.24268919658965,0,72
73,148,-274.2105872292842,0,73
74,30,-55.128010052625804,0,74
75,30,-47.25308963430054,0,75
76,121,-202.82045668011753,0,76
77,122,-203.80593278434418,0,77
78,200,-346.97960049800713,0,78
79,54,-96.31710138907349,0,79
80,37,-73.07423226347262,0,80
81,36,-68.74086078802294,0,81
82,200,-337.9145528284835,0,82
83,25,-47.51530669595091,0,83
84,26,-37.34079756612104,0,84
85,200,-341.134864353524,0,85
86,53,-108.07917223448905,0,86
87,17,-30.54295277400939,0,87
88,67,-108.90076940419421,0,88
89,21,-26.252795434052757,0,89
90,79,-129.4793533086033,0,90
91,161,-269.59834141887717,1,91
92,200,-389.72513861112446,0,92
93,32,-63.15938754909081,0,93
94,22,-32.535866146506166,0,94
95,93,-150.5976587733958,0,95
96,19,-26.50445543046851,0,96
97,103,-181.251749428746,0,97
98,30,-37.04093038747137,0,98
99,25,-36.059857194156244,0,99
100,21,-31.972619271132086,0,100
101,30,-44.30666581843148,0,101
102,23,-34.71969468216807,0,102
103,185,-344.7133063818737,0,103
104,117,-185.85700660909416,0,104
105,200,-359.6631987826455,0,105
106,37,-67.63464988104788,0,106
107,23,-38.132952409309496,0,107
108,74,-86.42796631080861,0,108
109,35,-61.9707429531542,0,109
110,98,-155.28839782644707,0,110
111,24,-41.42822517287268,0,111
112,200,-378.8637200965902,0,112
113,23,-40.57948731997227,0,113
114,23,-39.05904665293542,0,114
115,30,-51.17550565205014,0,115
116,21,-36.51725461307121,0,116
117,21,-37.515194810414364,0,117
118,200,-371.99274044627924,1,118
119,24,-44.339930285866586,0,119
120,200,-346.8003275482138,0,120
121,140,-258.32615090710414,0,121
122,167,-299.81994278656003,0,122
123,30,-48.99703729776504,0,123
124,22,-27.835978406729694,0,124
125,31,-51.5000221161525,0,125
126,22,-30.887692133056525,0,126
127,25,-41.202359278955036,0,127
128,200,-366.9689727107191,0,128
129,172,-307.02828209516423,0,129
130,190,-370.974560077343,0,130
131,172,-310.0785289732012,0,131
132,19,-29.911051942234856,0,132
133,183,-345.73734551782576,0,133
134,25,-50.08027164473696,0,134
135,200,-340.3109542862179,0,135
136,114,-181.75564604290022,0,136
137,61,-88.57629060663793,1,137
138,18,-22.932143614153773,0,138
139,24,-32.96291581299976,0,139
140,200,-365.35546898714955,0,140
141,178,-361.0664547075944,0,141
142,20,-34.15539733964085,0,142
143,22,-38.354194260600515,0,143
144,135,-239.14459040063844,0,144
145,200,-380.11345465708996,0,145
146,108,-182.17085975537424,0,146
147,22,-39.71982663334296,0,147
148,84,-144.29180096790094,0,148
149,130,-211.37008680011039,0,149
150,200,-394.5758026780507,0,150
151,22,-42.62519412811862,0,151
152,26,-47.73904324485048,0,152
153,92,-155.9046369031639,0,153
154,28,-49.0681204887716,0,154
155,200,-382.5189005082181,0,155
156,19,-32.497322964453616,0,156
157,200,-351.15303017217053,0,157
158,200,-369.74163605297525,1,158
159,157,-256.4437681387545,0,159
160,200,-373.6684058281977,0,160
161,87,-123.64217311511047,0,161
162,96,-140.0611143236211,0,162
163,22,-39.5629294684367,0,163
164,20,-33.52876589670015,0,164
165,93,-152.96935710674805,0,165
166,89,-129.46928107092097,0,166
167,21,-30.127993143062497,0,167
168,18,-29.86876313309024,0,168
169,128,-203.69338314619517,0,169
170,17,-26.972639545103693,0,170
171,17,-20.326791463549483,0,171
172,18,-17.678597987129493,0,172
173,132,-228.89921954026758,0,173
174,23,-34.06943224032521,0,174
175,200,-392.8483135627255,0,175
176,16,-26.013165785398296,0,176
177,18,-32.995449022349675,0,177
178,200,-393.8146291013801,0,178
179,27,-43.94467395904968,0,179
180,95,-148.09096593664776,0,180
181,18,-24.8016913458074,0,181
182,17,-30.454359762597722,0,182
183,21,-39.44215299361003,0,183
184,17,-24.94731958236575,0,184
185,20,-36.385904290834176,0,185
186,165,-269.4483902556327,1,186
187,76,-119.9343195163645,0,187
188,86,-147.29682349003014,0,188
189,24,-41.069690215810695,0,189
190,88,-143.1132385883634,0,190
191,16,-24.574644660615775,0,191
192,20,-24.121587871076862,0,192
193,163,-299.316436158921,0,193
194,21,-37.09770202154756,0,194
195,18,-25.868680634880704,0,195
196,17,-24.33950347176992,0,196
197,21,-36.1983317024969,0,197
198,118,-180.98792287239473,0,198
199,200,-370.20975434936497,0,199
200,18,-20.556692812079874,0,200
201,14,-22.60344620807828,0,201
202,16,-15.818895367358317,0,202
203,165,-304.24487650005403,0,203
204,16,-23.31869325661277,0,204
205,83,-116.94972947987858,0,205
206,16,-27.76910519371748,0,206
207,200,-360.8611223113907,0,207
208,79,-118.09309768030528,0,208
209,14,-21.661697202096114,0,209
210,163,-287.18770277754163,0,210
211,74,-106.53831740610815,0,211
212,88,-126.80329375039868,0,212
213,16,-18.583217591025594,0,213
214,158,-271.7616137225768,1,214
215,15,-15.476533346035309,0,215
216,16,-17.566454444060682,0,216
217,19,-26.415216524251605,0,217
218,20,-28.510465525744024,0,218
219,158,-257.2202164276566,0,219
220,78,-122.0836773555596,0,220
221,16,-17.29037419651486,0,221
222,15,-24.632260060807305,0,222
223,18,-25.771046970419828,0,223
224,17,-20.298004431908062,0,224
225,17,-32.498027369292075,0,225
226,147,-270.45376418694286,0,226
227,200,-373.4924828889001,0,227
228,20,-20.566479748764415,0,228
229,79,-127.25469181926141,0,229
230,44,-54.4603913099425,0,230
231,20,-25.32823153085171,0,231
232,18,-27.483356435819733,0,232
233,20,-34.73705787512046,0,233
234,15,-23.04226211801737,0,234
235,200,-378.03428929178415,0,235
236,17,-28.465405386819377,0,236
237,81,-129.3733104476958,0,237
238,21,-36.008279654570515,0,238
239,80,-128.95836052595234,0,239
240,200,-385.15618080703064,0,240
241,161,-319.21154235366237,0,241
242,18,-31.165255253347727,0,242
243,17,-24.513243177040184,0,243
244,79,-118.89775684503046,0,244
245,17,-25.876155810354717,0,245
246,188,-361.5014212105523,1,246
247,14,-21.963463726976308,0,247
248,19,-33.26779112612482,0,248
249,16,-17.78868205268178,0,249
250,24,-41.259982726483486,0,250
251,25,-37.69058068035731,0,251
252,16,-24.164213727896882,0,252
253,18,-28.66392672607921,0,253
254,110,-181.7866430502919,0,254
255,192,-369.6391547902496,0,255
256,20,-29.98906058173348,0,256
257,20,-35.29601108257032,0,257
258,16,-25.889653947671388,0,258
259,81,-120.48647537904807,0,259
260,19,-24.53244883885973,0,260
261,15,-24.292846810970897,0,261
262,200,-376.76573009223813,0,262
263,17,-29.234524532368702,0,263
264,18,-22.048715113365766,0,264
265,18,-31.786895787058125,0,265
266,16,-26.860059548901916,0,266
267,16,-24.161318836172875,0,267
268,17,-19.58593721837653,0,268
269,17,-32.78272109362361,0,269
270,17,-28.72607984081774,0,270
271,14,-23.302120225170967,0,271
272,15,-19.859086924843986,0,272
273,18,-25.894055534811567,0,273
274,200,-383.29187122694424,0,274
275,17,-28.648351135357586,0,275
276,18,-32.95153903195075,0,276
277,16,-24.62307970603477,0,277
278,115,-186.52789959227698,0,278
279,17,-17.750993999840993,0,279
280,17,-26.65782552551358,0,280
281,16,-23.312977986448132,0,281
282,17,-26.716381703079207,0,282
283,16,-24.885201136807783,0,283
284,15,-22.363341740900054,0,284
285,18,-28.477484388976873,0,285
286,79,-114.79573532525663,0,286
287,14,-22.01436924689642,0,287
288,17,-17.713413910844544,0,288
289,17,-28.30470675213652,0,289
290,16,-26.53675649512077,0,290
291,78,-121.32909107962497,0,291
292,79,-111.11295775509383,0,292
293,18,-28.38733599364942,0,293
294,18,-30.30031850447021,0,294
295,18,-22.355937989502593,0,295
296,23,-40.01750631225274,0,296
297,20,-33.318443840415256,0,297
298,17,-17.671378052525256,0,298
299,146,-277.520834083669,1,299
300,16,-23.325140860424334,0,300
301,200,-389.0912704280372,0,301
302,15,-14.961725361521266,0,302
303,19,-27.593893666470287,0,303
304,19,-32.129166903721256,0,304
305,16,-24.426952579684325,0,305
306,18,-26.168091808611447,0,306
307,14,-22.569135984270815,0,307
308,75,-116.57207550640702,0,308
309,16,-26.637566508489435,0,309
310,19,-31.31392606497782,0,310
311,16,-17.851288223572716,0,311
312,16,-15.720064358111225,0,312
313,20,-30.987922338364196,0,313
314,81,-121.83733112045161,0,314
315,78,-117.7320915094457,0,315
316,20,-36.531872312459285,0,316
317,14,-21.595843637848734,0,317
318,200,-390.5797531393048,0,318
319,14,-22.517275866314304,0,319
320,18,-29.370276993911606,0,320
321,200,-374.32797456052083,0,321
322,16,-26.97287463725261,0,322
323,19,-29.79482837875593,0,323
324,20,-34.540128968108405,0,324
325,15,-23.836254846785238,0,325
326,22,-34.96524362516707,0,326
327,200,-388.02772430480377,0,327
328,19,-29.033892566994187,0,328
329,15,-25.568240569566083,0,329
330,200,-381.29047870751737,0,330
331,77,-131.40647656256579,0,331
332,18,-26.386157777785833,0,332
333,77,-123.22628667071284,0,333
334,21,-39.67493064067055,0,334
335,14,-22.185197093792887,0,335
336,81,-131.2424879956953,1,336
337,16,-15.590072596749797,0,337
338,200,-401.37292594499365,0,338
339,18,-27.860738603327842,0,339
340,15,-22.84842099095116,0,340
341,17,-29.232444338964736,0,341
342,20,-34.09331195057691,0,342
343,15,-22.405019215930636,0,343
344,78,-109.7851957614991,0,344
345,200,-378.95475000665294,0,345
346,14,-21.077563916896864,0,346
347,16,-27.101910634646035,0,347
348,15,-15.691421942063927,0,348
