,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,1.0,100,2020,-0.04
2,20,0.0,200,4020,0.0
3,20,1.0,300,6020,0.37
4,20,-1.0,400,8020,0.52
5,20,0.0,500,10020,0.63
6,20,0.0,600,12020,0.61
7,20,0.0,700,14020,0.5
8,20,2.0,800,16020,0.57
9,20,2.0,900,18020,0.67
10,20,1.0,1000,20020,0.53
11,20,1.0,1100,22020,0.56
12,20,0.0,1200,24020,0.51
13,20,0.0,1300,26020,0.64
14,20,0.0,1400,28020,0.47
15,20,1.0,1500,30020,0.63
16,20,1.0,1600,32020,0.66
17,20,2.0,1700,34020,0.59
18,20,2.0,1800,36020,0.83
19,20,1.0,1900,38020,0.84
20,20,1.0,2000,40020,0.98
21,20,3.0,2100,42020,1.01
22,20,1.0,2200,44020,0.96
23,20,1.0,2300,46020,1.16
24,20,0.0,2400,48020,1.06
25,20,2.0,2500,50020,1.11
26,20,2.0,2600,52020,1.07
27,20,2.0,2700,54020,1.11
28,20,2.0,2800,56020,1.12
29,20,0.0,2900,58020,1.16
30,20,1.0,3000,60020,1.08
31,20,2.0,3100,62020,1.24
32,20,2.0,3200,64020,1.3
33,20,2.0,3300,66020,1.18
34,20,1.0,3400,68020,1.29
35,20,2.0,3500,70020,1.35
36,20,1.0,3600,72020,1.56
37,20,-1.0,3700,74020,1.39
38,20,3.0,3800,76020,1.43
39,20,1.0,3900,78020,1.44
40,20,1.0,4000,80020,1.46
41,20,3.0,4100,82020,1.49
42,20,3.0,4200,84020,1.53
43,20,2.0,4300,86020,1.55
44,20,2.0,4400,88020,1.72
45,20,0.0,4500,90020,1.52
46,20,1.0,4600,92020,1.44
47,20,0.0,4700,94020,1.28
48,20,1.0,4800,96020,1.35
49,20,2.0,4900,98020,1.52
50,20,2.0,5000,100020,1.52
