,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,0.0
2,20,0.0,200,4020,-0.04
3,20,1.0,300,6020,0.22
4,20,0.0,400,8020,0.13
5,20,0.0,500,10020,0.4
6,20,1.0,600,12020,0.13
7,20,0.0,700,14020,0.41
8,20,-1.0,800,16020,0.55
9,20,1.0,900,18020,0.72
10,20,1.0,1000,20020,0.69
11,20,0.0,1100,22020,0.67
12,20,1.0,1200,24020,0.87
13,20,1.0,1300,26020,0.86
14,20,1.0,1400,28020,0.95
15,20,1.0,1500,30020,1.01
16,20,0.0,1600,32020,0.93
17,20,2.0,1700,34020,0.94
18,20,1.0,1800,36020,1.09
19,20,1.0,1900,38020,1.07
20,20,2.0,2000,40020,1.13
21,20,-1.0,2100,42020,1.28
22,20,1.0,2200,44020,1.39
23,20,1.0,2300,46020,1.32
24,20,1.0,2400,48020,1.42
25,20,0.0,2500,50020,1.44
26,20,2.0,2600,52020,1.52
27,20,2.0,2700,54020,1.49
28,20,1.0,2800,56020,1.45
29,20,1.0,2900,58020,1.53
30,20,2.0,3000,60020,1.65
31,20,2.0,3100,62020,1.71
32,20,2.0,3200,64020,1.66
33,20,1.0,3300,66020,1.61
34,20,0.0,3400,68020,1.6
35,20,2.0,3500,70020,1.75
36,20,2.0,3600,72020,1.63
37,20,1.0,3700,74020,1.7
38,20,1.0,3800,76020,1.78
39,20,2.0,3900,78020,1.72
40,20,2.0,4000,80020,1.85
41,20,2.0,4100,82020,1.79
42,20,1.0,4200,84020,1.85
43,20,2.0,4300,86020,1.79
44,20,2.0,4400,88020,1.78
45,20,2.0,4500,90020,1.92
46,20,2.0,4600,92020,1.87
47,20,2.0,4700,94020,1.85
48,20,2.0,4800,96020,1.88
49,20,2.0,4900,98020,1.96
50,20,2.0,5000,100020,1.92
