,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.03
2,20,0.0,200,4020,0.0
3,20,0.0,300,6020,0.32
4,20,0.0,400,8020,0.6
5,20,0.0,500,10020,0.49
6,20,1.0,600,12020,0.71
7,20,2.0,700,14020,0.75
8,20,1.0,800,16020,0.77
9,20,1.0,900,18020,0.73
10,20,-2.0,1000,20020,0.92
11,20,2.0,1100,22020,0.86
12,20,1.0,1200,24020,0.98
13,20,1.0,1300,26020,1.0
14,20,0.0,1400,28020,0.95
15,20,0.0,1500,30020,0.92
16,20,2.0,1600,32020,0.94
17,20,1.0,1700,34020,0.99
18,20,1.0,1800,36020,0.93
19,20,0.0,1900,38020,0.87
20,20,1.0,2000,40020,1.03
21,20,1.0,2100,42020,1.25
22,20,2.0,2200,44020,1.26
23,20,1.0,2300,46020,1.37
24,20,2.0,2400,48020,1.5
25,20,2.0,2500,50020,1.54
26,20,2.0,2600,52020,1.52
27,20,2.0,2700,54020,1.44
28,20,1.0,2800,56020,1.41
29,20,1.0,2900,58020,1.49
30,20,2.0,3000,60020,1.62
31,20,2.0,3100,62020,1.63
32,20,1.0,3200,64020,1.63
33,20,2.0,3300,66020,1.65
34,20,2.0,3400,68020,1.72
35,20,2.0,3500,70020,1.75
36,20,2.0,3600,72020,1.85
37,20,2.0,3700,74020,1.67
38,20,2.0,3800,76020,1.77
39,20,2.0,3900,78020,1.73
40,20,1.0,4000,80020,1.81
41,20,2.0,4100,82020,1.78
42,20,2.0,4200,84020,1.74
43,20,2.0,4300,86020,1.72
44,20,1.0,4400,88020,1.77
45,20,2.0,4500,90020,1.76
46,20,2.0,4600,92020,1.81
47,20,2.0,4700,94020,1.77
48,20,1.0,4800,96020,1.75
49,20,2.0,4900,98020,1.78
50,20,2.0,5000,100020,1.8
